order,order_name,state_fips,county_fips,geo_fips,state_name,county_name,producers,milk_pounds
33,Mideast,26,5,26005,Michigan,Allegan,27,35568743
33,Mideast,26,7,26007,Michigan,Alpena,9,4209209
33,Mideast,26,11,26011,Michigan,Arenac,7,9393720
33,Mideast,26,15,26015,Michigan,Barry,19,28634649
33,Mideast,26,21,26021,Michigan,Berrien,5,2686160
33,Mideast,26,23,26023,Michigan,Branch,5,3100587
33,Mideast,26,25,26025,Michigan,Calhoun,12,16072164
33,Mideast,26,29,26029,Michigan,Charlevoix,4,847584
33,Mideast,26,33,26033,Michigan,Chippewa,4,353690
33,Mideast,26,35,26035,Michigan,Clare,14,3296119
33,Mideast,26,37,26037,Michigan,Clinton,32,86393335
33,Mideast,26,45,26045,Michigan,Eaton,11,1091682
33,Mideast,26,51,26051,Michigan,Gladwin,3,2292826
33,Mideast,26,57,26057,Michigan,Gratiot,22,76044030
33,Mideast,26,59,26059,Michigan,Hillsdale,9,3599525
33,Mideast,26,63,26063,Michigan,Huron,46,80462236
33,Mideast,26,65,26065,Michigan,Ingham,12,11943541
33,Mideast,26,67,26067,Michigan,Ionia,26,39713639
33,Mideast,26,69,26069,Michigan,Iosco,8,4893834
33,Mideast,26,73,26073,Michigan,Isabella,20,12530015
33,Mideast,26,75,26075,Michigan,Jackson,10,4212831
33,Mideast,26,77,26077,Michigan,Kalamazoo,7,19831509
33,Mideast,26,81,26081,Michigan,Kent,13,17392438
33,Mideast,26,87,26087,Michigan,Lapeer,6,728808
33,Mideast,26,91,26091,Michigan,Lenawee,15,46479415
33,Mideast,26,93,26093,Michigan,Livingston,5,3483842
33,Mideast,26,105,26105,Michigan,Mason,5,698918
33,Mideast,26,107,26107,Michigan,Mecosta,9,4484940
33,Mideast,26,109,26109,Michigan,Menominee,7,1644069
33,Mideast,26,113,26113,Michigan,Missaukee,29,52594363
33,Mideast,26,117,26117,Michigan,Montcalm,34,14048469
33,Mideast,26,119,26119,Michigan,Montmorency,5,1045103
33,Mideast,26,121,26121,Michigan,Muskegon,13,18517546
33,Mideast,26,123,26123,Michigan,Newaygo,22,11713578
33,Mideast,26,129,26129,Michigan,Ogemaw,18,9037097
33,Mideast,26,133,26133,Michigan,Osceola,17,22505367
33,Mideast,26,135,26135,Michigan,Oscoda,3,347758
33,Mideast,26,139,26139,Michigan,Ottawa,38,56748990
33,Mideast,26,145,26145,Michigan,Saginaw,10,2905638
33,Mideast,26,147,26147,Michigan,Stclair,5,1564310
33,Mideast,26,149,26149,Michigan,Stjoseph,10,4521001
33,Mideast,26,151,26151,Michigan,Sanilac,55,52077730
33,Mideast,26,155,26155,Michigan,Shiawassee,7,3302142
33,Mideast,26,157,26157,Michigan,Tuscola,29,25383741
33,Mideast,26,159,26159,Michigan,Vanburen,5,24056880
33,Mideast,26,161,26161,Michigan,Washtenaw,6,1737021
33,Mideast,26,165,26165,Michigan,Wexford,3,448129
