order,order_name,state_fips,county_fips,geo_fips,state_abbrev,county_name,producers,milk_pounds
33,Mideast,36,9,36009,NY,Cattaraugus,25,27613664
33,Mideast,36,13,36013,NY,Chautauqua,40,16362385
33,Mideast,36,29,36029,NY,Erie,5,1616348
33,Mideast,36,51,36051,NY,Livingston,4,945001
33,Mideast,36,69,36069,NY,Ontario,6,911405
33,Mideast,36,101,36101,NY,Steuben,3,1199577
33,Mideast,36,121,36121,NY,Wyoming,18,4614072
33,Mideast,42,5,42005,PA,Armstrong,9,2203191
33,Mideast,42,7,42007,PA,Beaver,9,540599
33,Mideast,42,9,42009,PA,Bedford,19,1027081
33,Mideast,42,13,42013,PA,Blair,18,1743207
33,Mideast,42,15,42015,PA,Bradford,7,1724121
33,Mideast,42,19,42019,PA,Butler,17,2983260
33,Mideast,42,21,42021,PA,Cambria,3,921701
33,Mideast,42,27,42027,PA,Centre,18,1783763
33,Mideast,42,29,42029,PA,Chester,31,1567857
33,Mideast,42,31,42031,PA,Clarion,11,2831530
33,Mideast,42,33,42033,PA,Clearfield,7,809844
33,Mideast,42,35,42035,PA,Clinton,5,2212845
33,Mideast,42,39,42039,PA,Crawford,63,12589840
33,Mideast,42,49,42049,PA,Erie,26,3073386
33,Mideast,42,51,42051,PA,Fayette,15,1583765
33,Mideast,42,53,42053,PA,Forest,3,181682
33,Mideast,42,61,42061,PA,Huntingdon,3,368624
33,Mideast,42,63,42063,PA,Indiana,27,5364735
33,Mideast,42,65,42065,PA,Jefferson,10,952398
33,Mideast,42,71,42071,PA,Lancaster,106,4230727
33,Mideast,42,73,42073,PA,Lawrence,22,6526969
33,Mideast,42,81,42081,PA,Lycoming,4,271124
33,Mideast,42,85,42085,PA,Mercer,30,4328053
33,Mideast,42,109,42109,PA,Snyder,6,55195
33,Mideast,42,111,42111,PA,Somerset,77,9562742
33,Mideast,42,119,42119,PA,Union,7,429926
33,Mideast,42,121,42121,PA,Venango,3,570676
33,Mideast,42,123,42123,PA,Warren,17,3041787
33,Mideast,42,125,42125,PA,Washington,14,1403451
33,Mideast,42,129,42129,PA,Westmoreland,30,4520541
33,Mideast,42,133,42133,PA,York,10,127887
